nama	kategori_kemenpar	alamat	kecamatan	koordinat_lat	koordinat_lon	koordinat_sumber	status_koordinat	klasifikasi_potensi	sumber_data
ATLANTIS WATER ADVENTURE	atraksi_air_lain;waterpark_taman_air	JL. LODAN TIMUR, ANCOL, KEC. PADEMANGAN, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14430	Pademangan	-6.12403	106.83911	True	OK		SDI destinasi.par
BEACH CITY INTERNATIONAL STADIUM	pantai_pulau_rekreasi	BEACH CITY INTERNATIONAL STADIUM, JL. KW. WISATA ANCOL, ANCOL, PADEMANGAN, NORTH JAKARTA CITY, JAKARTA 14430		-6.11743	106.85822	True	OK		SDI destinasi.par
DUNIA AIR TAWAR	atraksi_air_lain	DUNIA AIR TAWAR & DUNIA SERANGGA TMII, JL. TAMAN MINI RAYA, RT.1/RW.10, CEGER, KEC. CIPAYUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13550, INDONESIA	Cipayung	-6.30464	106.89527	True	OK		SDI destinasi.par
ECOPARK ANCOL	atraksi_air_lain	JLN. LODAN TIMUR NO.7, RW.10, PADEMANGAN , JAKARTA UTARA , DKI JAKARTA , 13820		-6.12343	106.83465	True	OK		SDI destinasi.par
HUTAN MANGROVE PULAU PRAMUKA	pantai_pulau_rekreasi	PULAU PANGGANG, KEPULAUAN SERIBU UTARA, KAB. ADMINISTRASI KEPULAUAN SERIBU, DAERAH KHUSUS IBUKOTA JAKARTA 14530		-5.73437	106.61505	True	OK		SDI destinasi.par
JAKARTA AQUARIUM	waterpark_taman_air	ALAN LETJEN S PARMAN KAV 28, TANJUNG DUREN SELATAN, GROGOL PETAMBURAN, JAKARTA BARAT.		-6.17419	106.78993	True	OK		SDI destinasi.par
KEPULAUAN SERIBU	atraksi_air_lain;pantai_pulau_rekreasi	TERLETAK DISEBELAH UTARA JAKARTA TEPAT BERHADAPAN DENGAN TELUK JAKARTA. SECARA GEOGRAFIS ADALAH PADA 5?24? - 5?45? LS DAN 106?25? - 106?40? BT DENGAN(11,8?KM?)		-5.74561	106.61466	False	OK	WISATA ALAM, BAHARI, SEJARAH	SDI destinasi.par+SDI potensi_DTW (join)
MASJID SUNDA KELAPA	pelabuhan_rekreasi_marina	JALAN TAMAN SUNDA KELAPA NO.16, RT.6/RW.4, MENTENG, KOTA JAKARTA PUSAT, DKI JAKARTA		-6.30464	106.89527	True	OK		SDI destinasi.par
MUSEUM BAHARI	atraksi_air_lain	JALAN PASAR IKAN NO. 1 JAKARTA UTARA		-6.12752	106.80877	False	OK	WISATA SEJARAH DAN BUDAYA, WISATA PENDIDIKAN	SDI destinasi.par+SDI potensi_DTW (join)
PANTAI ANCOL	pantai_pulau_rekreasi	JALAN LODAN TIMUR NOMOR 7, ANCOL, JAKARTA UTARA.		-6.11959	106.84921	True	OK		SDI destinasi.par
PASAR SENI ANCOL	atraksi_air_lain	TAMAN IMPIAN JAYA, JL. LODAN TIMUR NO.7, RW.10, ANCOL, KEC. PADEMANGAN, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14430	Pademangan	-6.12632	106.83899	True	OK		SDI destinasi.par
PULAU CIPIR	pantai_pulau_rekreasi	KELURAHAN PULAU UNTUNG JAWA, KECAMATAN KEPULAUAN SERIBU SELATAN, KAB. KEPULAUAN SERIBU, PROV. DKI  JAKARTA		-6.03829	106.73618	True	OK		SDI destinasi.par
PULAU KELOR	pantai_pulau_rekreasi	PULAU UNTUNG JAWA, KEC. KEPULAUAN SERIBU SELATAN, KEPULAUAN SERIBU, DKI JAKARTA	Kepulauan Seribu Selatan	-6.02525	106.74532	True	OK		SDI destinasi.par
PULAU LANCANG	pantai_pulau_rekreasi	BERADA PADA GUGUSAN KEPULAUAN SERIBU YANG SECARA ADMINISTRATIF TERMASUK DALAM WILAYAH KABUPATEN ADMINISTRATIF KEPULAUAN SERIBU, PROVINSI DKI JAKARTA.		-5.92906	106.58565	True	OK		SDI destinasi.par
PULAU ONRUST	pantai_pulau_rekreasi	KEC. KEPULAUAN SERIBU SELATAN, KAB. KEPULAUAN SERIBU, PROV. DKI  JAKARTA	Kepulauan Seribu Selatan	-6.03205	106.73367	True	OK		SDI destinasi.par
PULAU PANGGANG	pantai_pulau_rekreasi	KELURAHAN PULAU PANGGANG, KECAMATAN KEPULAUAN SERIBU UTARA, KABUPATEN ADMINISTRASI KEPULAUAN SERIBU, DKI JAKARTA 14530		-5.74189	106.60232	False	OK		SDI destinasi.par
PULAU PARI	pantai_pulau_rekreasi	PULAU PARI, KEPULAUAN SERIBU SELATAN, KAB. KEPULAUAN SERIBU, DAERAH KHUSUS IBU KOTA JAKARTA		-5.87328	106.52012	True	OK		SDI destinasi.par
PULAU PAYUNG	pantai_pulau_rekreasi	PULAU PAYUNG, KELURAHAN PULAU TIDUNG, KECAMATAN KEPULAUAN SERIBU SELATAN, KABUPATEN ADMINISTRASI KEPULAUAN SERIBU, PROVINSI DKI JAKARTA 14520		-5.82054	106.55239	False	OK		SDI destinasi.par
PULAU PRAMUKA	pantai_pulau_rekreasi	PULAU PRAMUKA, KELURAHAN PULAU PANGGANG, KECAMATAN KEPULAUAN SERIBU UTARA, KABUPATEN ADMINISTRASI KEPULAUAN SERIBU, DKI JAKARTA 14530		-5.74561	106.61466	False	OK		SDI destinasi.par
PULAU SABIRA	pantai_pulau_rekreasi	PULAU HARAPAN, KEPULAUAN SERIBU UTARA, KAB. ADMINISTRASI KEPULAUAN SERIBU, DAERAH KHUSUS IBUKOTA JAKARTA		-5.6350469	106.5803541	Photon (OSM)	OK (photon-fix)		SDI destinasi.par;Photon (OSM)
PULAU SEPA	pantai_pulau_rekreasi	JAVA SEA, PULAU SEPA RESORT, KEPULAUAN SERIBU UTARA, KAB. ADMINISTRASI KEPULAUAN SERIBU, DAERAH KHUSUS IBUKOTA JAKARTA 14540		-5.5704505	106.5847536	Photon (OSM)	OK (photon-fix)		SDI destinasi.par;Photon (OSM)
PULAU TIDUNG BESAR	pantai_pulau_rekreasi	GUGUSAN KEPULAUAN SERIBU, KABUPATEN KEPULAUAN SERIBU, PROVINSI DKI JAKARTA		-5.79641	106.49285	True	OK		SDI destinasi.par
PULAU TIDUNG KECIL	pantai_pulau_rekreasi	GUGUSAN KEPULAUAN SERIBU, KELURAHAN PULAU TIDUNG, KECAMATAN KEPULAUAN SERIBU SELATAN KABUPATEN KEPULAUAN SEIBU, PROV DKI JAKARTA		-5.80269	106.52316	True	OK		SDI destinasi.par
PULAU UNTUNG JAWA	pantai_pulau_rekreasi	KEC. KEPULAUAN SERIBU SEL., KAB. ADMINISTRASI KEPULAUAN SERIBU, DAERAH KHUSUS IBUKOTA JAKARTA		-5.97649	106.70587	True	OK		SDI destinasi.par
TAMAN IMPIAN JAYA ANCOL	atraksi_air_lain	JL. LODAN TIMUR NO.7, RT.14/RW.10, ANCOL, KEC. PADEMANGAN, JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14430	Pademangan	-6.12556	106.83353	False	OK		SDI destinasi.par
CX Water Park	waterpark_taman_air	CX Water Park, Jalan Centex, RW 03, Ciracas, Jakarta Timur, Daerah Khusus Ibukota Jakarta, 13740, Indonesia		-6.3192352	106.8778451	False	OK (nominatim-osm)		Nominatim (leisure/water_park) osm_way_507135456
Jetski Pantai Mutiara	berpetualang_perahu_kapal;pantai_pulau_rekreasi	Jetski Pantai Mutiara, Jalan Pantai Mutiara, RW 16, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, 14440, Indonesia		-6.103722	106.7903517	False	OK (nominatim-osm)		Nominatim (amenity/cafe) osm_way_156270903
Diving Spot	atraksi_air_lain	Diving Spot, Jalan Kyai Mursalin, RW 01, Pulau Panggang, Kepulauan Seribu Utara, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia		-5.7457879	106.5892053	False	OK (nominatim-osm)		Nominatim (tourism/attraction) osm_node_2132034789
